HALTER_ID,ALTER,GESCHLECHT,STADTKREIS,STADTQUARTIER,RASSE1,RASSE1_MISCHLING,RASSE2,RASSE2_MISCHLING,RASSENTYP,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
80096,"51-60","w",11,"111","Shih Tzu","Mischling",,,"K",2014,"m","beige"
80097,"61-70","m",6,"61","Jack Russel Terrier",,,,"K",2006,"m","schwarz/weiss"
80099,"71-80","m",12,"123","Pinscher",,,,"K",2002,"m","rot"
80106,"61-70","w",9,"91","Labrador Retriever",,"Golden Retriever",,"I",2009,"m","schwarz"
80127,"51-60","w",10,"101","American Bulldog",,,,"I",2016,"m","weiss/braun"
80134,"71-80","m",9,"91","Mischling gross",,,,"I",2016,"w","weiss"
80141,"51-60","m",11,"111","Yorkshire Terrier","Mischling",,,"K",2003,"w","schwarz/braun/grau"
80143,"81-90","w",9,"92","Yorkshire Terrier",,,,"K",2007,"w","schwarz/braun"
80157,"71-80","w",11,"111","Mischling klein",,,,"K",2003,"w","braun/weiss"
80162,"61-70","m",12,"123","Spitz","Mischling",,,"K",2004,"m","schwarz/weiss"
80162,"61-70","m",12,"123","Parson Jack Russell Terrier",,,,"K",2008,"m","weiss/rot"
80162,"61-70","m",12,"123","Bouvier",,,,"I",2008,"w","schwarz"
80168,"61-70","m",11,"119","Labrador Retriever",,,,"I",2005,"m","beige"
80169,"41-50","w",4,"42","Jack Russel Terrier",,"Wolfspitz",,"K",2014,"m","schwarz"
80169,"41-50","w",4,"42","Jack Russel Terrier","Mischling",,,"K",2007,"w","tricolor"
80172,"61-70","m",9,"91","Labrador Retriever",,,,"I",2008,"m","schwarz"
80185,"41-50","m",10,"102","Labrador Retriever",,,,"I",2010,"w","blondfarben"
80187,"51-60","w",3,"31","Golden Retriever",,,,"I",2003,"w","blondfarben"
80201,"51-60","m",3,"31","Mischling klein",,,,"K",2007,"w","schwarz"
80205,"41-50","m",5,"51","Beauceron",,,,"I",2005,"m","black/tan"
80205,"41-50","m",5,"51","Beauceron Berge de Beauce",,,,"I",2016,"m","schwarz/braun"
80217,"51-60","w",3,"33","Foxterrier",,,,"K",2007,"w","braun/weiss"
80226,"71-80","w",6,"61","Labrador Retriever",,,,"I",2010,"m","braun"
80230,"61-70","w",9,"92","Yorkshire Terrier",,,,"K",2006,"m","braun/weiss"
80230,"61-70","w",9,"92","Chihuahua",,,,"K",2017,"w","beige"
80248,"61-70","m",4,"42","Jack Russel Terrier",,,,"K",2009,"w","braun/weiss"
80258,"51-60","m",11,"111","Dackel",,,,"K",2009,"w","rot/schwarz"
80258,"51-60","m",11,"111","Weimaraner",,,,"I",2016,"w","grau"
80267,"41-50","m",12,"122","Mischling klein",,,,"K",2006,"m","braun"
80272,"51-60","m",9,"91","Terrier","Mischling",,,"K",2007,"m","black/tan"
80306,"61-70","m",9,"91","Border Terrier",,,,"K",2005,"m","grau/braun"
80319,"41-50","w",10,"102","Mischling klein",,,,"K",2006,"m","braun/schwarz"
80319,"41-50","w",10,"102","Dackel","Mischling",,,"K",2010,"w","tricolor"
80335,"61-70","w",12,"122","Irish Setter",,"Golden Retriever",,"I",2008,"m","braun"
80335,"61-70","w",12,"122","Irish Setter",,"Golden Retriever",,"I",2008,"m","braun"
80351,"81-90","w",3,"33","Bearded Collie",,,,"I",2005,"w","braun/weiss"
80370,"51-60","m",12,"121","Deutscher Schäfer",,,,"I",2016,"m","schwarz/braun"
80380,"71-80","m",2,"23","Mischling klein",,,,"K",2007,"w","tricolor"
80382,"51-60","w",10,"102","Dachshund",,,,"K",2008,"m","braun"
80383,"81-90","w",4,"44","Malteser",,"Chihuahua",,"K",2014,"w","weiss"
80404,"61-70","m",7,"72","Deutscher Wachtel",,,,"I",2015,"m","braun schimmel"
80406,"61-70","m",11,"111","Labrador Retriever",,,,"I",2008,"w","schwarz"
80407,"71-80","m",7,"72","Labrador Retriever",,,,"I",2012,"w","schwarz"
80410,"51-60","w",3,"33","Labrador Retriever",,,,"I",2012,"w","schwarz"
80412,"51-60","m",2,"21","Labrador Retriever",,,,"I",2012,"m","schwarz"
80416,"51-60","w",9,"91","Labrador Retriever",,,,"I",2008,"m","schwarz"
80418,"41-50","w",8,"81","Labrador Retriever",,,,"I",2006,"m","schwarz"
80434,"61-70","w",7,"71","Pudel","Mischling",,,"K",2006,"m","schwarz"
80438,"71-80","m",7,"71","Deutscher Wachtel",,,,"I",2006,"w","rotbraun schimmel"
80491,"71-80","w",6,"63","Chihuahua",,,,"K",2006,"w","braun"
80493,"81-90","w",11,"119","Shih Tzu",,,,"K",2006,"m","weiss/schwarz"
80498,"61-70","m",12,"122","Malteser",,,,"K",2015,"m","weiss"
80500,"61-70","m",11,"111","Boxer",,,,"I",2010,"w","goldbraun"
80509,"71-80","w",2,"24","Boxer",,,,"I",2011,"w","gelb"
80513,"61-70","w",3,"33","Parson Jack Russell Terrier",,,,"K",2011,"w","tricolor"
80516,"51-60","m",3,"33","Malteser","Mischling",,,"K",2005,"w","weiss/braun"
